Qvector_A	Intensity	Uncertainty
0.003175442833206428	1989.103123007158	66.84541601756743
0.00322226862402682	1907.977290975322	64.56517282376052
0.003269328169909675	1821.432359146539	62.77862726148353
0.003316621444635911	1737.911341469051	61.13006197306166
0.003364148427348303	1674.161318748187	59.19420012086827
0.003411909102400535	1590.034175372727	56.85656183106336
0.003463917052814944	1502.217302751513	54.49940057238982
0.003516192215975144	1428.352594933396	52.50503965339404
0.003568748655383669	1382.024791982342	50.77536196076555
0.003621572313041294	1273.531006965796	49.06174384347487
0.003674677265639488	1232.856344589367	47.27749692534548
0.003728049466147146	1141.720200656824	45.44837665362121
0.003781703004979791	1083.920139663052	43.78973705765929
0.003839786753113331	1047.312008502576	42.48859194111392
0.003894003068630503	987.0415018573098	41.2557334097373
0.003948500834265564	931.5163324118116	39.73102308999763
0.004007493889025456	908.9072134154328	38.08401965040299
0.004066805316966953	836.357134208815	36.62801135388688
0.004126435189022103	804.9206825156123	35.38772193050254
0.004186383582545244	761.5501367712337	34.26709007852237
0.004246650581127915	719.7432529629907	33.14136218847861
0.004307236274422845	702.8156873616541	32.06388766703289
0.004372507347057845	655.2833787417069	31.45137497092306
0.004438136367617009	609.3779515452395	30.63566744732325
0.004530762543531436	567.6004928752965	26.98705100794283
0.004597137170424597	534.133675211299	19.54987643043906
0.004632773271383978	553.9326803965899	11.71099134186786
0.004699851710391069	492.4304465145249	7.032560490245682
0.004767288800268711	454.4121736526502	5.38361560492734
0.004835101012336718	449.9284007943624	4.920179066946281
0.004907834362203186	409.1710017896968	4.690082162105574
0.00498098565016209	400.7405661854431	4.535881893405895
0.005049940667937076	396.9026780113316	4.384708469534907
0.005119271571304105	356.2950221275607	4.174593737449484
0.005193625699608648	346.3596040102521	3.937633201221543
0.005268398670762006	331.5451781512069	3.7248037052846
0.005348308801620393	314.3936805805131	3.553840710642926
0.005428683075102096	297.4568179151992	3.422640188038891
0.005504766573605839	284.0387279932718	3.294397561708089
0.005581269989179387	272.7469178253623	3.127554388337556
0.005663019935677064	249.7615859680336	2.938563169178138
0.005745235271940188	232.2106263087639	2.778790052352377
0.005827934966213087	226.537319779435	2.663923687033883
0.005911100735246327	217.4449126491431	2.562394968915386
0.005994751588824864	208.9952518441259	2.446745865355278
